code,label
01024997,Aircraft — Aircraft systems — Airborne APU system — APU sys wiring
01030000,Aircraft — Aircraft structures — (general) — (general)
01035102,Aircraft — Aircraft structures — Balloon/dirigible structures — (general)
01035200,Aircraft — Aircraft structures — Doors — (general)
01035210,Aircraft — Aircraft structures — Doors — Passenger/crew doors
01035220,Aircraft — Aircraft structures — Doors — Emergency exit
01035230,Aircraft — Aircraft structures — Doors — Cargo/baggage doors
01035240,Aircraft — Aircraft structures — Doors — Service doors
01035241,Aircraft — Aircraft structures — Doors — Galley doors
01035242,Aircraft — Aircraft structures — Doors — Elect/electronic comp doors
01035243,Aircraft — Aircraft structures — Doors — Hydraulic compartment doors
01035244,Aircraft — Aircraft structures — Doors — Accessory compartment doors
01035245,Aircraft — Aircraft structures — Doors — Air conditioning comp doors
01035246,Aircraft — Aircraft structures — Doors — Fluid service doors
01035247,Aircraft — Aircraft structures — Doors — Auxiliary power unit door
01035248,Aircraft — Aircraft structures — Doors — Tail cone door
01035250,Aircraft — Aircraft structures — Doors — Fixed inner doors
01035260,Aircraft — Aircraft structures — Doors — Entrance stairs
01035270,Aircraft — Aircraft structures — Doors — Door warning
01035280,Aircraft — Aircraft structures — Doors — Landing gear doors
01035297,Aircraft — Aircraft structures — Doors — Door wiring
01035300,Aircraft — Aircraft structures — Fuselage — (general)
01035301,Aircraft — Aircraft structures — Fuselage — Aerial tow equipment section
01035302,Aircraft — Aircraft structures — Fuselage — Rotorcraft tail boom
01035310,Aircraft — Aircraft structures — Fuselage — Fuselage main structure
01035311,Aircraft — Aircraft structures — Fuselage — Frames (main fuselage)
01035312,Aircraft — Aircraft structures — Fuselage — Bulkheads (main fuselage)
01035313,Aircraft — Aircraft structures — Fuselage — Longerons/stringers (main fus)
01035314,Aircraft — Aircraft structures — Fuselage — Keels (main fuselage)
01035315,Aircraft — Aircraft structures — Fuselage — Floor beams (main fuselage)
01035320,Aircraft — Aircraft structures — Fuselage — Fuselage auxiliary structure
01035321,Aircraft — Aircraft structures — Fuselage — Floor panels (aux fuselage)
01035322,Aircraft — Aircraft structures — Fuselage — Internal mount struc (aux fus)
01035323,Aircraft — Aircraft structures — Fuselage — Internal stairs (aux fus)
01035324,Aircraft — Aircraft structures — Fuselage — Fixed partitions (aux fus)
01035330,Aircraft — Aircraft structures — Fuselage — Plates/skins (aux fuselage)
01035340,Aircraft — Aircraft structures — Fuselage — Fuselage attach fittings sys
01035341,Aircraft — Aircraft structures — Fuselage — Wing attach fittings (on fus)
01035342,Aircraft — Aircraft structures — Fuselage — Stab attach fittings (on fus)
01035343,Aircraft — Aircraft structures — Fuselage — Gear attach fittings (on fus)
01035344,Aircraft — Aircraft structures — Fuselage — Door hinge (on fuselage)
01035345,Aircraft — Aircraft structures — Fuselage — Equip attach fittings (on fus)
01035346,Aircraft — Aircraft structures — Fuselage — Engine attach fitting (on fus)
01035347,Aircraft — Aircraft structures — Fuselage — Seat/cargo attach fitting
01035350,Aircraft — Aircraft structures — Fuselage — Aerodynamic fairings structure
01035397,Aircraft — Aircraft structures — Fuselage — Fuselage wiring
01035400,Aircraft — Aircraft structures — Nacelles/pylons structure — (general)
01035410,Aircraft — Aircraft structures — Nacelles/pylons structure — Main frame (on nacelles/pylon)
01035411,Aircraft — Aircraft structures — Nacelles/pylons structure — Frames (on nacelles/pylon)
01035412,Aircraft — Aircraft structures — Nacelles/pylons structure — Bulkhead/firewalls (nac/pylon)
01035413,Aircraft — Aircraft structures — Nacelles/pylons structure — Longeron/stringers (nac/pylon)
01035414,Aircraft — Aircraft structures — Nacelles/pylons structure — Plates/skins (nacelle/pylon)
01035415,Aircraft — Aircraft structures — Nacelles/pylons structure — Attach fittings (nac/pylon)
01035420,Aircraft — Aircraft structures — Nacelles/pylons structure — Nacelle/pylon misc structure
01035497,Aircraft — Aircraft structures — Nacelles/pylons structure — Nacelle/pylon wiring
01035500,Aircraft — Aircraft structures — Empennage structure — (general)
01035510,Aircraft — Aircraft structures — Empennage structure — Horizontal stabilizer
01035511,Aircraft — Aircraft structures — Empennage structure — Spars/ribs (horizontal stab)
01035512,Aircraft — Aircraft structures — Empennage structure — Plates/skins (horizontal stab)
01035513,Aircraft — Aircraft structures — Empennage structure — Tab struc (horizontal stab)
01035514,Aircraft — Aircraft structures — Empennage structure — Horiz stab misc structure
01035520,Aircraft — Aircraft structures — Empennage structure — Elevators
01035521,Aircraft — Aircraft structures — Empennage structure — Spars/ribs (on elevator)
01035522,Aircraft — Aircraft structures — Empennage structure — Plates/skins (on elevator)
01035523,Aircraft — Aircraft structures — Empennage structure — Tab structure (on elevator)
01035524,Aircraft — Aircraft structures — Empennage structure — Elevator misc structure
01035530,Aircraft — Aircraft structures — Empennage structure — Vertical stabilizer
01035531,Aircraft — Aircraft structures — Empennage structure — Spars/ribs (on vert stab)
01035532,Aircraft — Aircraft structures — Empennage structure — Plates/skins (on vert stab)
01035533,Aircraft — Aircraft structures — Empennage structure — Ventral struc (on vert stab)
01035534,Aircraft — Aircraft structures — Empennage structure — Vertical stab misc structure
01035540,Aircraft — Aircraft structures — Empennage structure — Rudder
01035541,Aircraft — Aircraft structures — Empennage structure — Spars/ribs (on rudder)
01035542,Aircraft — Aircraft structures — Empennage structure — Plates/skins (on rudder)
01035543,Aircraft — Aircraft structures — Empennage structure — Tab structure (on rudder)
01035544,Aircraft — Aircraft structures — Empennage structure — Rudder misc structure
01035550,Aircraft — Aircraft structures — Empennage structure — Attach fittings (flt controls)
01035551,Aircraft — Aircraft structures — Empennage structure — Horizontal stab attach fitting
01035552,Aircraft — Aircraft structures — Empennage structure — Elevator/tab attach fitting
01035553,Aircraft — Aircraft structures — Empennage structure — Vertical stab attach fitting
01035554,Aircraft — Aircraft structures — Empennage structure — Rudder/tab attach fitting
01035597,Aircraft — Aircraft structures — Empennage structure — Stabilizer sys wiring
01035600,Aircraft — Aircraft structures — Windows-windshield system — (general)
01035610,Aircraft — Aircraft structures — Windows-windshield system — Flight compartment windows
01035620,Aircraft — Aircraft structures — Windows-windshield system — Passenger compartment windows
01035630,Aircraft — Aircraft structures — Windows-windshield system — Door windows
01035640,Aircraft — Aircraft structures — Windows-windshield system — Inspection windows
01035697,Aircraft — Aircraft structures — Windows-windshield system — Window wiring
01035700,Aircraft — Aircraft structures — Wing structure — (general)
01035710,Aircraft — Aircraft structures — Wing structure — Main frame (on wing)
01035711,Aircraft — Aircraft structures — Wing structure — Spar (on wing)
01035712,Aircraft — Aircraft structures — Wing structure — Ribs/bulkheads (on wing)
01035713,Aircraft — Aircraft structures — Wing structure — Longerons/stringers (on wing)
01035714,Aircraft — Aircraft structures — Wing structure — Center wing box (on wing)
01035720,Aircraft — Aircraft structures — Wing structure — Wing auxiliary structure
01035730,Aircraft — Aircraft structures — Wing structure — Plates/skins (on wing)
01035740,Aircraft — Aircraft structures — Wing structure — Attach fittings (on wing)
01035741,Aircraft — Aircraft structures — Wing structure — Fus (attach fitting on wing)
01035742,Aircraft — Aircraft structures — Wing structure — Nac/pylon (fitting on wing)
01035743,Aircraft — Aircraft structures — Wing structure — Landing gear (fitting on wing)
01035744,Aircraft — Aircraft structures — Wing structure — Cont surface (fitting on wing)
01035750,Aircraft — Aircraft structures — Wing structure — Flight surfaces (wing)
01035751,Aircraft — Aircraft structures — Wing structure — Ailerons
01035752,Aircraft — Aircraft structures — Wing structure — Aileron tabs
01035753,Aircraft — Aircraft structures — Wing structure — Trailing edge flaps
01035754,Aircraft — Aircraft structures — Wing structure — Leading edge devices
01035755,Aircraft — Aircraft structures — Wing structure — Spoilers
01035797,Aircraft — Aircraft structures — Wing structure — Wing wiring
01040000,Aircraft — Aircraft propeller/rotor — (general) — (general)
01046100,Aircraft — Aircraft propeller/rotor — Propeller system — (general)
01046110,Aircraft — Aircraft propeller/rotor — Propeller system — Propeller assembly
01046111,Aircraft — Aircraft propeller/rotor — Propeller system — Propeller blade section
01046112,Aircraft — Aircraft propeller/rotor — Propeller system — Prop deice boot section
01046113,Aircraft — Aircraft propeller/rotor — Propeller system — Prop/spinner section
01046114,Aircraft — Aircraft propeller/rotor — Propeller system — Propeller hub section
01046120,Aircraft — Aircraft propeller/rotor — Propeller system — Propeller controlling system
01046121,Aircraft — Aircraft propeller/rotor — Propeller system — Prop synchronizer section
01046122,Aircraft — Aircraft propeller/rotor — Propeller system — Propeller governor
01046123,Aircraft — Aircraft propeller/rotor — Propeller system — Propeller feather/reversing
01046130,Aircraft — Aircraft propeller/rotor — Propeller system — Propeller braking
